time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-03-20T08:46:02.760Z,33.6456667,-116.6846667,13.97,0.56,ml,19,103,0.06981,0.12,ci,ci38277927,2019-03-20T08:49:37.533Z,"10km N of Anza, CA",earthquake,0.35,0.51,0.187,11,automatic,ci,ci
2019-03-20T08:45:37.080Z,46.8673333,-112.5128333,13.2,1.04,ml,10,101,0.132,0.09,mb,mb80338259,2019-03-20T14:12:07.160Z,"16km SE of Lincoln, Montana",earthquake,0.31,0.93,0.048,2,reviewed,mb,mb
2019-03-20T08:44:44.130Z,33.6423333,-116.6865,14.74,0.35,ml,15,101,0.07243,0.07,ci,ci38277919,2019-03-20T13:21:01.581Z,"10km N of Anza, CA",earthquake,0.25,0.37,0.177,7,reviewed,ci,ci
2019-03-20T08:11:06.570Z,46.8678333,-112.5186667,12.77,1.04,ml,12,100,0.129,0.13,mb,mb80338254,2019-03-20T14:16:44.180Z,"15km SE of Lincoln, Montana",earthquake,0.38,0.79,,2,reviewed,mb,mb
2019-03-20T08:10:33.880Z,40.2985,-120.721,2.81,1.77,md,12,248,0.2834,0.19,nc,nc73154481,2019-03-20T18:24:33.645Z,"15km SSW of Susanville, CA",earthquake,3.12,31.61,0.071,9,reviewed,nc,nc
2019-03-20T08:05:57.330Z,33.0331667,-116.432,7.53,1.83,ml,62,32,0.141,0.2,ci,ci38277903,2019-03-20T13:21:47.510Z,"17km ESE of Julian, CA",earthquake,0.23,1.21,0.222,25,reviewed,ci,ci
2019-03-20T07:44:12.577Z,61.545,-151.6772,83.9,3.7,ml,,,,0.68,ak,ak0193mrvwmg,2019-03-20T18:20:53.965Z,"89km WSW of Willow, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2019-03-20T07:32:24.430Z,36.5303333,-89.5945,9.04,1.47,md,18,59,0.04316,0.03,nm,nm60236312,2019-03-20T12:55:57.820Z,"7km SSE of Lilbourn, Missouri",earthquake,0.33,0.58,0.094,11,reviewed,nm,nm
2019-03-20T07:19:36.788Z,69.5998,-144.7404,0.2,3.8,ml,,,,0.83,ak,ak0193mrqlp2,2019-03-20T07:37:45.456Z,"73km SW of Kaktovik, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-03-20T06:34:28.520Z,37.4335,29.5637,10,5.7,mww,,31,0.737,1.23,us,us1000jj23,2019-03-20T17:37:44.918Z,"18km E of Acipayam, Turkey",earthquake,4.9,1.8,0.053,34,reviewed,us,us
2019-03-20T06:29:05.904Z,59.9982,-152.8512,105,1.3,ml,,,,0.74,ak,ak0193mr78u8,2019-03-20T06:41:24.754Z,"54km S of Redoubt Volcano, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-03-20T06:28:55.150Z,37.5445,-118.8793333,5.3,0.65,md,16,250,0.06048,0.03,nc,nc73154466,2019-03-20T17:06:03.623Z,"14km SE of Mammoth Lakes, CA",earthquake,0.89,1.1,0.132,15,reviewed,nc,nc
2019-03-20T06:27:35.130Z,38.8043333,-122.825,2.55,0.26,md,12,91,0.005582,0.03,nc,nc73154461,2019-03-20T18:24:03.060Z,"7km WNW of The Geysers, CA",earthquake,0.35,0.64,,1,reviewed,nc,nc
2019-03-20T06:24:02.396Z,62.0745,-141.065,0,1.8,ml,,,,1.04,ak,ak0193mr6605,2019-03-20T06:36:43.598Z,"171km SE of Tok, Alaska",earthquake,,0.3,,,automatic,ak,ak
